ID,Parameter_ID,Name,Description
TE027-?,TE027,?,missing
TE031-0,TE031,0,absent
TE031-1,TE031,1,present
TE031-?,TE031,?,missing
TE037-0,TE037,0,absent
TE037-1,TE037,1,present
TE037-?,TE037,?,missing
TE038-0,TE038,0,absent
TE038-1,TE038,1,present
TE038-?,TE038,?,missing
TE039-0,TE039,0,absent
TE039-1,TE039,1,present
TE039-?,TE039,?,missing
TE050-0,TE050,0,absent
TE050-1,TE050,1,present
TE050-?,TE050,?,missing
TE052-0,TE052,0,absent
TE052-1,TE052,1,present
TE052-?,TE052,?,missing
TE053-0,TE053,0,absent
TE053-1,TE053,1,present
TE053-?,TE053,?,missing
TE054-0,TE054,0,absent
TE054-1,TE054,1,present
TE054-?,TE054,?,missing
TE059-0,TE059,0,absent
TE059-1,TE059,1,present
TE059-?,TE059,?,missing
TE066-0,TE066,0,absent
TE066-1,TE066,1,present
TE066-?,TE066,?,missing
TE078-0,TE078,0,absent
TE078-1,TE078,1,present
TE078-?,TE078,?,missing
TS001-0,TS001,0,absent
TS001-1,TS001,1,present
TS001-?,TS001,?,missing
TS002-0,TS002,0,absent
TS002-1,TS002,1,present
TS002-?,TS002,?,missing
TS003-0,TS003,0,absent
TS003-1,TS003,1,present
TS003-?,TS003,?,missing
TS004-0,TS004,0,absent
TS004-1,TS004,1,present
TS004-?,TS004,?,missing
TS005-0,TS005,0,absent
TS005-1,TS005,1,present
TS005-?,TS005,?,missing
TS006-0,TS006,0,absent
TS006-1,TS006,1,present
TS006-?,TS006,?,missing
TS007-0,TS007,0,absent
TS007-1,TS007,1,present
TS007-?,TS007,?,missing
TS008-0,TS008,0,absent
TS008-1,TS008,1,present
TS008-?,TS008,?,missing
TS009-0,TS009,0,absent
TS009-1,TS009,1,present
TS009-?,TS009,?,missing
TS010-0,TS010,0,absent
TS010-1,TS010,1,present
TS010-?,TS010,?,missing
TS079-0,TS079,0,absent
TS079-1,TS079,1,present
TS079-?,TS079,?,missing
TS080-0,TS080,0,absent
TS080-1,TS080,1,present
TS080-?,TS080,?,missing
TS086-0,TS086,0,absent
TS086-1,TS086,1,present
TS086-?,TS086,?,missing
TS087-0,TS087,0,absent
TS087-1,TS087,1,present
TS087-?,TS087,?,missing
TS088-0,TS088,0,absent
TS088-1,TS088,1,present
TS088-?,TS088,?,missing
